p_fail,tls_complete,tls_exp_transmissions,bhdamr_4of5_complete,bhdamr_4of5_tx,bhdamr_4of6_complete,bhdamr_4of6_tx,bhdamr_6of9_complete,bhdamr_6of9_tx,bhdamr_7of10_complete,bhdamr_7of10_tx
0.0,1.0,1.0,1.0,1.25,1.0,1.5,1.0,1.5,1.0,1.429
0.05,1.0,1.053,0.9738,1.25,0.9972,1.5,0.9996,1.5,0.9986,1.429
0.1,1.0,1.111,0.919,1.25,0.9848,1.5,0.991,1.5,0.9868,1.429
0.15,0.9999,1.176,0.8326,1.25,0.9502,1.5,0.9678,1.5,0.9554,1.429
0.2,0.9997,1.25,0.7366,1.25,0.8958,1.5,0.9126,1.5,0.8802,1.429
0.25,0.999,1.332,0.6226,1.25,0.8294,1.5,0.8376,1.5,0.796,1.429
0.3,0.9976,1.425,0.5314,1.25,0.7446,1.5,0.7414,1.5,0.6528,1.429
0.35,0.9947,1.53,0.435,1.25,0.6434,1.5,0.6064,1.5,0.5268,1.429
0.4,0.9898,1.65,0.3418,1.25,0.5512,1.5,0.4734,1.5,0.381,1.429
0.45,0.9815,1.785,0.2528,1.25,0.4474,1.5,0.3674,1.5,0.2596,1.429
0.5,0.9688,1.938,0.1798,1.25,0.362,1.5,0.2478,1.5,0.1644,1.429
