size_mb,profile,aont,tls_throughput_MBps,bhdamr_send_ms,bhdamr_send_sd,bhdamr_throughput_MBps,seal_cost_x,data_overhead_pct
1,4-of-5,False,4739.3,7.31,0.16,136.7,34.7,25.0
1,4-of-5,True,4739.3,11.31,1.84,88.4,53.6,25.0
1,4-of-6,False,4739.3,8.97,0.89,111.4,42.5,50.0
1,4-of-6,True,4739.3,11.03,0.26,90.7,52.3,50.0
1,6-of-9,False,4739.3,8.88,0.2,112.7,42.1,50.0
1,6-of-9,True,4739.3,11.31,0.25,88.4,53.6,50.0
1,7-of-10,False,4739.3,8.61,0.12,116.2,40.8,42.9
1,7-of-10,True,4739.3,11.49,0.16,87.1,54.4,42.9
10,4-of-5,False,2864.5,74.27,1.02,134.6,21.3,25.0
10,4-of-5,True,2864.5,105.49,8.06,94.8,30.2,25.0
10,4-of-6,False,2864.5,87.97,4.92,113.7,25.2,50.0
10,4-of-6,True,2864.5,110.13,5.97,90.8,31.5,50.0
10,6-of-9,False,2864.5,87.82,1.79,113.9,25.2,50.0
10,6-of-9,True,2864.5,115.09,0.9,86.9,33.0,50.0
10,7-of-10,False,2864.5,95.05,3.0,105.2,27.2,42.9
10,7-of-10,True,2864.5,113.97,0.91,87.7,32.6,42.9
100,4-of-5,False,2365.5,837.11,23.92,119.5,19.8,25.0
100,4-of-5,True,2365.5,1157.07,54.05,86.4,27.4,25.0
100,4-of-6,False,2365.5,915.18,47.74,109.3,21.6,50.0
100,4-of-6,True,2365.5,1205.52,9.96,83.0,28.5,50.0
100,6-of-9,False,2365.5,954.4,32.83,104.8,22.6,50.0
100,6-of-9,True,2365.5,1181.4,10.81,84.6,27.9,50.0
100,7-of-10,False,2365.5,934.78,36.3,107.0,22.1,42.9
100,7-of-10,True,2365.5,1222.9,25.32,81.8,28.9,42.9
500,4-of-5,False,2402.4,4482.45,49.98,111.5,21.5,25.0
500,4-of-5,True,2402.4,5938.35,195.35,84.2,28.5,25.0
500,4-of-6,False,2402.4,5086.88,62.4,98.3,24.4,50.0
500,4-of-6,True,2402.4,6349.36,98.39,78.7,30.5,50.0
500,6-of-9,False,2402.4,6259.37,40.46,79.9,30.1,50.0
500,6-of-9,True,2402.4,7919.62,94.89,63.1,38.1,50.0
500,7-of-10,False,2402.4,6181.59,54.5,80.9,29.7,42.9
500,7-of-10,True,2402.4,7981.96,185.28,62.6,38.4,42.9
1024,4-of-5,False,2422.8,11140.31,162.69,91.9,26.4,25.0
1024,4-of-5,True,2422.8,14479.2,186.97,70.7,34.3,25.0
1024,4-of-6,False,2422.8,12380.88,220.79,82.7,29.3,50.0
1024,4-of-6,True,2422.8,15746.42,239.02,65.0,37.3,50.0
1024,6-of-9,False,2422.8,13617.37,183.66,75.2,32.2,50.0
1024,6-of-9,True,2422.8,16346.53,150.64,62.6,38.7,50.0
1024,7-of-10,False,2422.8,13461.97,176.66,76.1,31.9,42.9
1024,7-of-10,True,2422.8,17072.61,205.61,60.0,40.4,42.9
2048,4-of-5,False,2469.9,22468.69,275.7,91.1,27.1,25.0
2048,4-of-5,True,2469.9,29092.4,128.02,70.4,35.1,25.0
2048,4-of-6,False,2469.9,24842.41,163.12,82.4,30.0,50.0
2048,4-of-6,True,2469.9,31621.2,237.5,64.8,38.1,50.0
2048,6-of-9,False,2469.9,27579.62,133.18,74.3,33.3,50.0
2048,6-of-9,True,2469.9,35001.62,174.42,58.5,42.2,50.0
2048,7-of-10,False,2469.9,27700.19,205.46,73.9,33.4,42.9
2048,7-of-10,True,2469.9,34630.47,122.22,59.1,41.8,42.9
4096,4-of-5,False,2542.5,42594.94,278.46,96.2,26.4,25.0
4096,4-of-5,True,2542.5,62863.76,1207.75,65.2,39.0,25.0
4096,4-of-6,False,2542.5,47642.56,699.4,86.0,29.6,50.0
4096,4-of-6,True,2542.5,67872.6,954.34,60.3,42.1,50.0
4096,6-of-9,False,2542.5,55643.0,905.65,73.6,34.5,50.0
4096,6-of-9,True,2542.5,71929.9,696.15,56.9,44.6,50.0
4096,7-of-10,False,2542.5,54633.71,590.53,75.0,33.9,42.9
4096,7-of-10,True,2542.5,71841.15,1325.8,57.0,44.6,42.9
