scheme,k,n,p_fail,empirical_recovery,analytic_recovery,abs_error
single-channel,1,1,0.0,1.0,1.0,0.0
single-channel,1,1,0.05,0.9563,0.95,0.0063
single-channel,1,1,0.1,0.8988,0.9,0.0012
single-channel,1,1,0.15,0.8325,0.85,0.0175
single-channel,1,1,0.2,0.8175,0.8,0.0175
single-channel,1,1,0.3,0.7288,0.7,0.0288
single-channel,1,1,0.4,0.625,0.6,0.025
single-channel,1,1,0.5,0.4888,0.5,0.0112
4-of-5,4,5,0.0,1.0,1.0,0.0
4-of-5,4,5,0.05,0.9788,0.9774,0.0013
4-of-5,4,5,0.1,0.9075,0.9185,0.011
4-of-5,4,5,0.15,0.8538,0.8352,0.0185
4-of-5,4,5,0.2,0.7512,0.7373,0.014
4-of-5,4,5,0.3,0.51,0.5282,0.0182
4-of-5,4,5,0.4,0.3063,0.337,0.0307
4-of-5,4,5,0.5,0.1837,0.1875,0.0038
4-of-6,4,6,0.0,1.0,1.0,0.0
4-of-6,4,6,0.05,0.9962,0.9978,0.0015
4-of-6,4,6,0.1,0.9862,0.9842,0.0021
4-of-6,4,6,0.15,0.95,0.9527,0.0027
4-of-6,4,6,0.2,0.9263,0.9011,0.0251
4-of-6,4,6,0.3,0.75,0.7443,0.0057
4-of-6,4,6,0.4,0.555,0.5443,0.0107
4-of-6,4,6,0.5,0.3538,0.3438,0.01
6-of-9,6,9,0.0,1.0,1.0,0.0
6-of-9,6,9,0.05,1.0,0.9994,0.0006
6-of-9,6,9,0.1,0.9925,0.9917,0.0008
6-of-9,6,9,0.15,0.965,0.9661,0.0011
6-of-9,6,9,0.2,0.9275,0.9144,0.0131
6-of-9,6,9,0.3,0.7225,0.7297,0.0072
6-of-9,6,9,0.4,0.4763,0.4826,0.0064
6-of-9,6,9,0.5,0.2175,0.2539,0.0364
7-of-10,7,10,0.0,1.0,1.0,0.0
7-of-10,7,10,0.05,0.9975,0.999,0.0015
7-of-10,7,10,0.1,0.9912,0.9872,0.004
7-of-10,7,10,0.15,0.9487,0.95,0.0013
7-of-10,7,10,0.2,0.8875,0.8791,0.0084
7-of-10,7,10,0.3,0.6275,0.6496,0.0221
7-of-10,7,10,0.4,0.3875,0.3823,0.0052
7-of-10,7,10,0.5,0.1775,0.1719,0.0056
